;NM_ESTADO;NM_REGIAO;CD_GEOCUF;LON;LAT
0;ACRE;NORTE;12;-70,47328293;-9,21288565
1;ALAGOAS;NORDESTE;27;-36,62493568;-9,513863003
2;AMAPA;NORTE;16;-51,95591825;1,44331941
3;BAHIA;NORDESTE;29;-41,72093891;-12,47502316
4;CEARA;NORDESTE;23;-39,61569434;-5,093345342
5;DISTRITO FEDERAL;CENTRO-OESTE;53;-47,79736071;-15,78069237
6;ESPIRITO SANTO;SUDESTE;32;-40,67105502;-19,57517628
7;GOIAS;CENTRO-OESTE;52;-49,62361384;-16,04222654
8;MARANHAO;NORDESTE;21;-45,2792191;-5,061285423
9;MATO GROSSO;CENTRO-OESTE;51;-55,91214512;-12,94896706
10;MATO GROSSO DO SUL;CENTRO-OESTE;50;-54,84562553;-20,32731017
11;MINAS GERAIS;SUDESTE;31;-44,6734288;-18,45618683
12;PARA;NORTE;15;-53,06423702;-3,974791182
13;PARAIBA;NORDESTE;25;-36,83262121;-7,121054786
14;PERNAMBUCO;NORDESTE;26;-37,99842718;-8,326066016
15;PIAUI;NORDESTE;22;-42,96862048;-7,387529981
16;RIO DE JANEIRO;SUDESTE;33;-42,6523805;-22,18874088
17;RIO GRANDE DO NORTE;NORDESTE;24;-36,67347663;-5,8396771
18;RIO GRANDE DO SUL;SUL;43;-53,32028521;-29,70568084
19;RORAIMA;NORTE;14;-61,39927864;2,084226108
20;SANTA CATARINA;SUL;42;-50,47480416;-27,24735601
21;SAO PAULO;SUDESTE;35;-48,73391268;-22,26347186
22;SERGIPE;NORDESTE;28;-37,44389984;-10,58447495
23;TOCANTINS;NORTE;17;-48,32923019;-10,15031629
24;PARANA;SUL;41;-51,61667765;-24,63589879
25;RONDONIA;NORTE;11;-62,84197489;-10,91321786
26;AMAZONAS;NORTE;13;-64,65314126;-4,154177496
